Federal Provider Number,longest_streak
095031,0
095034,0
095036,0
095038,0
095040,0
09E020,0
105001,0
105002,0
105005,0
105008,0
105009,0
105012,0
105016,0
105029,0
105030,0
105037,0
105038,0
105039,0
105045,0
105050,0
105052,0
105057,0
105067,0
105071,0
105072,0
105083,0
105089,0
105117,0
105119,0
105120,0
105125,0
105128,0
105132,0
105135,0
105138,0
105140,0
105145,0
105146,0
105147,0
105148,0
105149,0
105153,0
105155,0
105158,0
105159,0
105166,0
105172,0
105175,0
105176,0
105178,0
105190,0
105193,0
105196,0
105202,0
105205,0
105207,0
105210,0
105217,0
105219,0
105228,0
105229,0
105232,0
105234,0
105237,0
105238,0
105248,0
105250,0
105251,0
105252,0
105255,0
105257,0
105258,0
105259,0
105261,0
105262,0
105265,0
105267,0
105268,0
105269,0
105271,0
105274,0
105275,0
105277,0
105280,0
105282,0
105283,0
105286,0
105287,0
105289,0
105291,0
105292,0
105293,0
105295,0
105296,0
105297,0
105298,0
105299,0
105300,0
105301,0
105302,0
105304,0
105305,0
105307,0
105308,0
105310,0
105311,0
105315,0
105317,0
105319,0
105320,0
105321,0
105323,0
105324,0
105325,0
105326,0
105327,0
105328,0
105331,0
105332,0
105333,0
105335,0
105336,0
105342,0
105343,0
105346,0
105349,0
105350,0
105351,0
105352,0
105353,0
105354,0
105355,0
105358,0
105360,0
105362,0
105363,0
105364,0
105365,0
105366,0
105371,0
105372,0
105373,0
105374,0
105375,0
105376,0
105377,0
105378,0
105379,0
105381,0
105382,0
105385,0
105387,0
105389,0
105390,0
105392,0
105393,0
105394,0
105395,0
105396,0
105397,0
105398,0
105399,0
105401,0
105402,0
105404,0
105407,0
105408,0
105409,0
105410,0
105411,0
105412,0
105413,0
105416,0
105417,0
105419,0
105420,0
105421,0
105422,0
105423,0
105426,0
105427,0
105428,0
105429,0
105430,0
105431,0
105432,0
105433,0
105434,0
105435,0
105436,0
105437,0
105438,0
105439,0
105440,0
105441,0
105442,0
105443,0
105444,0
105445,0
105447,0
105448,0
105449,0
105451,0
105452,0
105453,0
105454,0
105455,0
105458,0
105459,0
105460,0
105461,0
105462,0
105463,0
105464,0
105465,0
105466,0
105467,0
105468,0
105470,0
105471,0
105472,0
105473,0
105474,0
105475,0
105476,0
105477,0
105478,0
105479,0
105480,0
105481,0
105482,0
105484,0
105485,0
105486,0
105487,0
105488,0
105489,0
105491,0
105492,0
105494,0
105495,0
105496,0
105497,0
105498,0
105499,0
105504,0
105505,0
105506,0
105507,0
105508,0
105509,0
105510,0
105511,0
105512,0
105513,0
105514,0
105515,0
105516,0
105518,0
105519,0
105520,0
105521,0
105522,0
105523,0
105524,0
105525,0
105526,0
105528,0
105529,0
105530,0
105531,0
105532,0
105533,0
105537,0
105538,0
105539,0
105541,0
105543,0
105544,0
105546,0
105547,0
105548,0
105549,0
105550,0
105551,0
105552,0
105553,0
105554,0
105555,0
105556,0
105558,0
105559,0
105560,0
105561,0
105562,0
105563,0
105564,0
105565,0
105566,0
105567,0
105568,0
105570,0
105571,0
105572,0
105574,0
105575,0
105577,0
105578,0
105579,0
105580,0
105581,0
105584,0
105586,0
105587,0
105588,0
105589,0
105591,0
105592,0
105593,0
105596,0
105597,0
105598,0
105599,0
105600,0
105601,0
105602,0
105603,0
105604,0
105606,0
105607,0
105609,0
105610,0
105611,0
105612,0
105613,0
105616,0
105617,0
105618,0
105620,0
105621,0
105622,0
105623,0
105624,0
105626,0
105628,0
105629,0
105630,0
105631,0
105632,0
105634,0
105635,0
105636,0
105637,0
105638,0
105640,0
105641,0
105643,0
105644,0
105645,0
105649,0
105650,0
105651,0
105652,0
105653,0
105654,0
105655,0
105657,0
105658,0
105659,0
105660,0
105662,0
105663,0
105664,0
105665,0
105666,0
105668,0
105670,0
105671,0
105672,0
105673,0
105679,0
105680,0
105682,0
105683,0
105684,0
105685,0
105686,0
105687,0
105688,0
105690,0
105692,0
105693,0
105694,0
